TRAVELER_ID,AVG_VISIT_PER_TRIP_TYPE_1,AVG_VISIT_PER_TRIP_TYPE_2,AVG_VISIT_PER_TRIP_TYPE_3,AVG_VISIT_PER_TRIP_TYPE_4,AVG_VISIT_PER_TRIP_TYPE_5,AVG_VISIT_PER_TRIP_TYPE_6,AVG_VISIT_PER_TRIP_TYPE_7,AVG_VISIT_PER_TRIP_TYPE_8,AVG_VISIT_PER_TRIP_TYPE_9,AVG_VISIT_PER_TRIP_TYPE_10,AVG_VISIT_PER_TRIP_TYPE_11,AVG_VISIT_PER_TRIP_TYPE_12,AVG_VISIT_PER_TRIP_TYPE_13,AVG_DGSTFN_TYPE_1,AVG_DGSTFN_TYPE_2,AVG_DGSTFN_TYPE_3,AVG_DGSTFN_TYPE_4,AVG_DGSTFN_TYPE_5,AVG_DGSTFN_TYPE_6,AVG_DGSTFN_TYPE_7,AVG_DGSTFN_TYPE_8,AVG_DGSTFN_TYPE_9,AVG_DGSTFN_TYPE_10,AVG_DGSTFN_TYPE_11,AVG_DGSTFN_TYPE_12,AVG_DGSTFN_TYPE_13,cluster
e000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.8536574397824399,0.8374730781974817,0.8538467261904763,0.8028130934796371,1.0,0.8424823633156966,0.8283587598425197,0.7754360465116279,0.75,0.8110194970845481,0.826705972346629,0.7975217864923747,0.8432557117750439,1
e000515,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.2,0.0,0.25,0.0,0.0,0.625,0.5,0.8538467261904763,0.5,0.8793532338308458,0.8424823633156966,0.75,0.7754360465116279,0.5,0.8110194970845481,0.875,0.7975217864923747,0.8432557117750439,5
e000571,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5,0.0,1.0,0.75,1.0,0.8538467261904763,0.875,0.8793532338308458,0.8424823633156966,0.8283587598425197,0.7754360465116279,1.0,0.8110194970845481,0.875,0.7975217864923747,0.5,4
e000601,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.625,0.0,0.0,1.0,0.8374730781974817,0.8538467261904763,0.8028130934796371,0.8793532338308458,0.8424823633156966,0.75,1.0,0.7950413263449116,0.8110194970845481,0.95,0.7975217864923747,0.8432557117750439,5
e000654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.125,0.0,1.0,0.8536574397824399,0.8374730781974817,0.8538467261904763,0.8028130934796371,0.8793532338308458,0.8424823633156966,0.8283587598425197,0.7754360465116279,0.875,0.8110194970845481,1.0,0.7975217864923747,1.0,4
e006945,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.8536574397824399,0.875,0.8538467261904763,0.8028130934796371,0.8793532338308458,0.8424823633156966,0.8283587598425197,0.7754360465116279,0.7950413263449116,0.8110194970845481,1.0,0.7975217864923747,0.8432557117750439,1
e008914,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8374730781974817,0.8538467261904763,0.8028130934796371,0.8793532338308458,0.8424823633156966,0.8283587598425197,0.7754360465116279,0.7950413263449116,0.8110194970845481,0.826705972346629,0.7975217864923747,0.8432557117750439,1
f000019,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.375,0.0,0.0,0.8536574397824399,1.0,0.8538467261904763,0.8028130934796371,1.0,0.8424823633156966,1.0,0.7754360465116279,0.7950413263449116,0.8110194970845481,0.8333333333333333,0.7975217864923747,0.8432557117750439,5
f000021,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.625,1.0,0.0,1.0,1.0,0.8538467261904763,0.8028130934796371,0.8793532338308458,0.8424823633156966,0.8283587598425197,0.7754360465116279,1.0,0.8110194970845481,1.0,1.0,0.8432557117750439,1
f000022,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,1.0,0.8536574397824399,1.0,0.8538467261904763,1.0,0.8793532338308458,0.8424823633156966,0.8283587598425197,0.7754360465116279,0.7950413263449116,0.8110194970845481,0.5,0.7975217864923747,1.0,4
f000023,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.8536574397824399,0.8374730781974817,0.8538467261904763,0.0,0.8793532338308458,0.8424823633156966,0.8283587598425197,0.7754360465116279,0.7950413263449116,0.8110194970845481,0.0,0.5,0.8432557117750439,1
f000028,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.0,0.0,1.0,1.0,0.8538467261904763,0.8028130934796371,0.8793532338308458,0.8424823633156966,0.8283587598425197,0.7754360465116279,1.0,0.8110194970845481,1.0,0.7975217864923747,0.8432557117750439,1
f000029,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.0,1.0,0.8536574397824399,0.8374730781974817,0.8538467261904763,1.0,0.8793532338308458,0.8424823633156966,0.8283587598425197,0.7754360465116279,0.7950413263449116,1.0,0.9166666666666669,0.7975217864923747,1.0,4
f000034,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.8536574397824399,0.8374730781974817,0.8538467261904763,1.0,0.8793532338308458,1.0,0.8283587598425197,0.7754360465116279,0.7950413263449116,0.8110194970845481,1.0,0.7975217864923747,0.8432557117750439,3
f000039,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.375,0.0,1.0,0.875,0.75,0.8538467261904763,0.8028130934796371,0.8793532338308458,0.75,0.8283587598425197,0.7754360465116279,0.7950413263449116,0.75,1.0,0.7975217864923747,1.0,4
f000264,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.8536574397824399,0.8374730781974817,0.8538467261904763,0.8028130934796371,0.8793532338308458,1.0,0.8283587598425197,0.7754360465116279,0.7950413263449116,0.8110194970845481,1.0,0.7975217864923747,0.8432557117750439,3
f000265,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8374730781974817,0.8538467261904763,0.8028130934796371,0.8793532338308458,0.8424823633156966,0.8283587598425197,0.25,0.7950413263449116,0.8110194970845481,0.826705972346629,0.7975217864923747,0.8432557117750439,1
f000268,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.2,1.0,0.25,1.0,1.0,0.8536574397824399,0.8374730781974817,0.8538467261904763,1.0,0.8793532338308458,0.8424823633156966,1.0,0.7754360465116279,0.25,0.5,1.0,1.0,1.0,5
f000278,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.2,0.0,0.625,0.0,0.0,1.0,0.5,0.8538467261904763,1.0,0.8793532338308458,1.0,1.0,0.7754360465116279,1.0,0.8110194970845481,0.8500000000000001,0.7975217864923747,0.8432557117750439,5
